time0,timet,S0,St,t,K,Fc,Fc_lower,Fc_upper,Ne,Ne_lower,Ne_upper
"2014-07","2014-10",74,94,3,6220,0.0106,0.0095,0.0119,-1016.32509935323,-8694.50475606354,-580.496294028049
"2014-07","2015-01",74,16,6,6127,0.0289,0.0259,0.0325,-329.425730820596,-543.177244588248,-246.921179781718
"2014-07","2015-02",74,11,7,5864,0.0407,0.0363,0.0459,-304.049006424623,-551.875029204149,-220.340791939265
"2014-07","2015-07",74,113,12,6226,0.0107,0.0096,0.012,-12460.1400685442,7198.94711525778,-3750.98047397568
"2014-07","2016-06",74,12,23,5911,0.0434,0.0388,0.0489,-2289.27546628408,24764.1231564637,-1189.33899060378
"2014-07","2016-10",74,91,27,6191,0.0113,0.0101,0.0127,-14191.6700490181,30553.759828343,-6322.6925815092
"2014-07","2017-04",74,37,33,6180,0.0209,0.0187,0.0235,26201.7167381975,5141.66727898822,-10563.8533684603
"2014-07","2017-08",74,11,37,5888,0.0388,0.0346,0.0437,-1379.43353363623,-2177.93643782448,-1052.78168888423
"2014-07","2018-08",74,5,49,5892,0.0719,0.0642,0.081,-702.876637977824,-951.452356258538,-575.600907210886
"2014-07","2018-10",74,13,51,6005,0.0357,0.0319,0.0402,-2679.05117620077,-5055.99129600761,-1915.62516869393
"2014-07","2019-08",74,7,61,6065,0.0557,0.0498,0.0626,-1356.44006387692,-1962.51255984113,-1074.82764683268
"2014-07","2019-10",74,9,63,6161,0.0473,0.0423,0.0531,-2098.2776899842,-3436.76712536363,-1576.65034736518
"2014-10","2015-01",94,16,3,6156,0.0289,0.0259,0.0325,-195.58884727424,-366.304986641736,-140.119242131471
"2014-10","2015-02",94,11,4,5864,0.0398,0.0355,0.0449,-182.254027567244,-337.91111376172,-131.146054329435
"2014-10","2015-07",94,113,9,6232,0.0085,0.0076,0.0095,-3617.57360175585,-22516.3458237862,-2110.99066320839
"2014-10","2016-06",94,12,20,5910,0.0416,0.0371,0.0469,-1856.72899657624,-79607.9991573144,-1016.3691119138
"2014-10","2016-10",94,91,24,6227,0.0094,0.0084,0.0106,-8488.63749131686,-46434.42994792,-5008.63302375586
"2014-10","2017-04",94,37,30,6178,0.0195,0.0175,0.0219,22477.3804394658,4879.78733154579,-10889.193528158
"2014-10","2017-08",94,11,34,5886,0.0387,0.0345,0.0436,-1408.0197369475,-2371.20717264341,-1047.81994160741
"2014-10","2018-08",94,5,46,5889,0.0713,0.0637,0.0803,-676.089811745575,-920.423634298096,-552.058018573756
"2014-10","2018-10",94,13,48,6031,0.0332,0.0297,0.0374,-2268.28362826383,-3733.49925927317,-1701.90343285745
"2014-10","2019-08",94,7,58,6072,0.0535,0.0478,0.0602,-1247.43413741256,-1748.93211974476,-1003.32951288079
"2014-10","2019-10",94,9,60,6198,0.0451,0.0404,0.0507,-1901.77889010446,-2936.1301962656,-1463.5765595249
"2015-01","2015-02",16,11,1,5825,0.0539,0.0481,0.0608,-21.925453458242,-31.3760154688787,-17.4748748063385
"2015-01","2015-07",16,113,6,6115,0.0288,0.0258,0.0324,-436.377679088627,-909.180422655307,-302.728702204793
"2015-01","2016-06",16,12,17,5875,0.0555,0.0495,0.0625,-488.038277511962,-819.239176847039,-363.644387508016
"2015-01","2016-10",16,91,21,6122,0.0287,0.0257,0.0323,-1305.23871320265,-2341.80891125103,-948.708039652317
"2015-01","2017-04",16,37,27,6133,0.0366,0.0327,0.0411,-1653.69971858964,-3721.67111468848,-1123.56064908488
"2015-01","2017-08",16,11,31,5855,0.0528,0.0471,0.0595,-648.412245674083,-901.440301995395,-523.993144660292
"2015-01","2018-08",16,5,43,5875,0.0825,0.0736,0.093,-441.025641025641,-561.60152648671,-373.223616426457
"2015-01","2018-10",16,13,45,5962,0.0496,0.0443,0.0558,-1118.76075731497,-1622.12248451171,-885.867392899558
"2015-01","2019-08",16,7,55,6095,0.0676,0.0605,0.076,-783.954388108328,-1030.98368176301,-651.469133840751
"2015-01","2019-10",16,9,57,6215,0.0573,0.0513,0.0643,-965.919789116927,-1269.13619559124,-802.858002863907
"2015-02","2015-07",11,113,5,5887,0.0396,0.0354,0.0446,-243.206649344144,-475.202128093082,-172.101472144355
"2015-02","2016-06",11,12,16,5625,0.0623,0.0555,0.0704,-322.30496886827,-478.155330914988,-252.828890889099
"2015-02","2016-10",11,91,20,5852,0.041,0.0366,0.0462,-1005.12099608394,-2111.55332231618,-696.445397232253
"2015-02","2017-04",11,37,26,5856,0.0478,0.0427,0.0539,-1164.03396840762,-2552.21237372961,-797.225472504492
"2015-02","2017-08",11,11,30,5624,0.0591,0.0526,0.0668,-471.563303801086,-621.634648196506,-391.822273285298
"2015-02","2018-08",11,5,42,5614,0.0848,0.0755,0.0958,-346.223021582734,-423.134279042166,-300.22409208725
"2015-02","2018-10",11,13,44,5698,0.0581,0.0518,0.0656,-852.181921607931,-1200.65415929534,-684.506898435979
"2015-02","2019-08",11,7,54,5799,0.079,0.0705,0.0891,-712.718546451834,-971.666011899643,-581.696340128432
"2015-02","2019-10",11,9,56,5915,0.0675,0.0603,0.076,-835.568952524491,-1120.91326181336,-687.414215548147
"2015-07","2016-06",113,12,11,5910,0.0408,0.0364,0.046,-1039.41353551121,-41539.8329055743,-569.420783570697
"2015-07","2016-10",113,91,15,6207,0.0086,0.0077,0.0097,-5684.9007091153,-28828.6348061146,-3379.13367448948
"2015-07","2017-04",113,37,21,6201,0.0188,0.0168,0.0211,12185.1060286444,3304.99746042631,-9491.83388861051
"2015-07","2017-08",113,11,25,5890,0.0378,0.0337,0.0426,-1034.82610259348,-1714.28173228971,-774.887835284324
"2015-07","2018-08",113,5,37,5866,0.0712,0.0636,0.0802,-556.813339015555,-764.882043658901,-452.637492560306
"2015-07","2018-10",113,13,39,6006,0.0341,0.0305,0.0384,-2219.35988719387,-4321.7190161958,-1571.36461189881
"2015-07","2019-08",113,7,49,6051,0.0551,0.0493,0.062,-1180.53228881755,-1766.0176771173,-921.42692326343
"2015-07","2019-10",113,9,51,6187,0.0446,0.0399,0.0501,-1657.96135994579,-2581.23719181747,-1271.4919933446
"2016-06","2016-10",12,91,4,5891,0.0412,0.0368,0.0464,-335.504485682684,-2692.1624905317,-192.721221547441
"2016-06","2017-04",12,37,10,5917,0.0475,0.0424,0.0535,-651.026392961877,-2981.05767169237,-391.772550603006
"2016-06","2017-08",12,11,14,5667,0.0618,0.0551,0.0698,-276.448061273337,-404.069734436845,-218.290191220563
"2016-06","2018-08",12,5,26,5672,0.0875,0.078,0.0988,-240,-303.384455828117,-204.037859319051
"2016-06","2018-10",12,13,28,5759,0.0602,0.0537,0.0679,-702.521873391662,-1146.71313146492,-529.318030775798
"2016-06","2019-08",12,7,38,5884,0.0774,0.0691,0.0872,-532.283884738527,-733.972246563549,-431.855749355842
"2016-06","2019-10",12,9,40,5940,0.0688,0.0615,0.0775,-703.674745895231,-1012.83306361948,-559.130044640541
"2016-10","2017-04",91,37,6,6193,0.0185,0.0166,0.0208,-5905.29085062844,1692.3046994643,-1226.35737959637
"2016-10","2017-08",91,11,10,5877,0.0376,0.0336,0.0424,-374.558462551637,-582.651747864529,-287.630053246403
"2016-10","2018-08",91,5,22,5877,0.0718,0.0641,0.0809,-326.46272258822,-447.328551467007,-265.710281454535
"2016-10","2018-10",91,13,24,5995,0.034,0.0304,0.0383,-1205.29801324503,-2109.06775112363,-884.171395109168
"2016-10","2019-08",91,7,34,6063,0.0541,0.0484,0.0608,-744.860128075497,-1057.5499105227,-595.493029784182
"2016-10","2019-10",91,9,36,6173,0.0451,0.0404,0.0507,-1128.52232624722,-1733.90911454549,-870.340849199394
"2017-04","2017-08",37,11,4,5894,0.0463,0.0413,0.0522,-157.877383192071,-293.951974660158,-113.434789320881
"2017-04","2018-08",37,5,16,5927,0.0802,0.0716,0.0903,-240.14278760344,-344.987904356596,-190.991802116759
"2017-04","2018-10",37,13,18,6012,0.0425,0.038,0.0478,-949.862863411958,-2168.24032100559,-643.372272303514
"2017-04","2019-08",37,7,28,6083,0.0619,0.0554,0.0696,-607.583907237052,-912.793610027741,-473.289162460065
"2017-04","2019-10",37,9,30,6239,0.0524,0.0469,0.0588,-899.870288967356,-1465.4123009888,-677.52214464858
"2017-08","2018-08",11,5,12,5650,0.0833,0.0742,0.0941,-96.5335673541027,-116.817165145971,-84.2027411817819
"2017-08","2018-10",11,13,14,5720,0.058,0.0517,0.0655,-270.102536427415,-379.422707552018,-217.257100108002
"2017-08","2019-08",11,7,24,5822,0.0757,0.0675,0.0854,-291.38153952887,-380.580375120276,-243.190679904314
"2017-08","2019-10",11,9,26,5919,0.0692,0.0618,0.0779,-408.675219103264,-563.629674907186,-331.51214997321
"2018-10","2019-08",13,7,10,5930,0.0701,0.0626,0.0789,-125.659366455854,-161.598820573648,-105.745007686265
"2018-10","2019-10",13,9,12,6061,0.0618,0.0553,0.0695,-186.236536318778,-244.813564445425,-154.812418372468
